model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,capsule,456,degradation,fog_haze,severe,none,0.5
PaDiM,capsule,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.512165904045105
PaDiM,carpet,42,baseline,clean,none,none,0.9775280356407166
PaDiM,carpet,42,degradation,low_light,mild,none,0.9670947194099426
PaDiM,carpet,42,degradation,low_light,moderate,none,0.942215085029602
PaDiM,carpet,42,degradation,low_light,severe,none,0.8226324319839478
PaDiM,carpet,42,rescue,low_light,severe,CLAHE,0.896869957447052
PaDiM,carpet,42,rescue,low_light,severe,Retinex,0.9285714030265808
PaDiM,carpet,42,degradation,gaussian_blur,mild,none,0.7925361394882202
PaDiM,carpet,42,degradation,gaussian_blur,moderate,none,0.5894863605499268
PaDiM,carpet,42,degradation,gaussian_blur,severe,none,0.500200629234314
PaDiM,carpet,42,rescue,gaussian_blur,severe,Wiener,0.4943820238113403
PaDiM,carpet,42,degradation,motion_blur,mild,none,0.9301766157150269
PaDiM,carpet,42,degradation,motion_blur,moderate,none,0.6801765561103821
PaDiM,carpet,42,degradation,motion_blur,severe,none,0.5517656803131104
PaDiM,carpet,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.4739165008068084
PaDiM,carpet,42,degradation,sensor_noise,mild,none,0.9008828401565552
PaDiM,carpet,42,degradation,sensor_noise,moderate,none,0.7259229421615601
PaDiM,carpet,42,degradation,sensor_noise,severe,none,0.6456661224365234
PaDiM,carpet,42,rescue,sensor_noise,severe,NLM Denoise,0.6043338775634766
PaDiM,carpet,42,degradation,fog_haze,mild,none,0.7002407312393188
PaDiM,carpet,42,degradation,fog_haze,moderate,none,0.5754414200782776
PaDiM,carpet,42,degradation,fog_haze,severe,none,0.54534512758255
PaDiM,carpet,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.504815399646759
PaDiM,carpet,123,baseline,clean,none,none,0.9931780695915222
PaDiM,carpet,123,degradation,low_light,mild,none,0.989967942237854
PaDiM,carpet,123,degradation,low_light,moderate,none,0.971508800983429
