model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,cable,456,degradation,low_light,mild,none,0.9767616391181946
PatchCore,cable,456,rescue,low_light,mild,CLAHE,0.9788230657577516
PatchCore,cable,456,rescue,low_light,mild,Retinex,0.9299100637435912
PatchCore,cable,456,degradation,low_light,moderate,none,0.9315966367721558
PatchCore,cable,456,rescue,low_light,moderate,CLAHE,0.964580237865448
PatchCore,cable,456,rescue,low_light,moderate,Retinex,0.9505246877670288
PatchCore,cable,456,degradation,gaussian_blur,mild,none,0.9263492822647096
PatchCore,cable,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,cable,456,degradation,gaussian_blur,moderate,none,0.5296102166175842
PatchCore,cable,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,cable,456,degradation,motion_blur,mild,none,0.7805472612380981
PatchCore,cable,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,cable,456,degradation,motion_blur,moderate,none,0.517241358757019
PatchCore,cable,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,cable,456,degradation,sensor_noise,mild,none,0.970014989376068
PatchCore,cable,456,rescue,sensor_noise,mild,NLM Denoise,0.91922789812088
PatchCore,cable,456,degradation,sensor_noise,moderate,none,0.9390929937362672
PatchCore,cable,456,rescue,sensor_noise,moderate,NLM Denoise,0.8397676348686218
PatchCore,cable,456,degradation,fog_haze,mild,none,0.8804347515106201
PatchCore,cable,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.8823087811470032
PatchCore,cable,456,degradation,fog_haze,moderate,none,0.7981634140014648
PatchCore,cable,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.8695652484893799
PatchCore,capsule,42,degradation,low_light,mild,none,0.9473474621772766
PatchCore,capsule,42,rescue,low_light,mild,CLAHE,0.8244914412498474
PatchCore,capsule,42,rescue,low_light,mild,Retinex,0.6282409429550171
PatchCore,capsule,42,degradation,low_light,moderate,none,0.5496609210968018
PatchCore,capsule,42,rescue,low_light,moderate,CLAHE,0.815716028213501
PatchCore,capsule,42,rescue,low_light,moderate,Retinex,0.5125647783279419
PatchCore,capsule,42,degradation,gaussian_blur,mild,none,0.8548065423965454
PatchCore,capsule,42,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,capsule,42,degradation,gaussian_blur,moderate,none,0.5
PatchCore,capsule,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,42,degradation,motion_blur,mild,none,0.5482648611068726
PatchCore,capsule,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,42,degradation,motion_blur,moderate,none,0.5
PatchCore,capsule,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,42,degradation,sensor_noise,mild,none,0.5193458199501038
PatchCore,capsule,42,rescue,sensor_noise,mild,NLM Denoise,0.4802552759647369
PatchCore,capsule,42,degradation,sensor_noise,moderate,none,0.5
PatchCore,capsule,42,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,capsule,42,degradation,fog_haze,mild,none,0.5151575803756714
PatchCore,capsule,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.4954128563404083
PatchCore,capsule,42,degradation,fog_haze,moderate,none,0.5
PatchCore,capsule,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,capsule,123,degradation,low_light,mild,none,0.9497408270835876
PatchCore,capsule,123,rescue,low_light,mild,CLAHE,0.8280813694000244
PatchCore,capsule,123,rescue,low_light,mild,Retinex,0.6533705592155457
PatchCore,capsule,123,degradation,low_light,moderate,none,0.5422816276550293
PatchCore,capsule,123,rescue,low_light,moderate,CLAHE,0.8169126510620117
PatchCore,capsule,123,rescue,low_light,moderate,Retinex,0.4908256828784942
PatchCore,capsule,123,degradation,gaussian_blur,mild,none,0.8528121709823608
PatchCore,capsule,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,capsule,123,degradation,gaussian_blur,moderate,none,0.5
PatchCore,capsule,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,123,degradation,motion_blur,mild,none,0.5578380823135376
PatchCore,capsule,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,123,degradation,motion_blur,moderate,none,0.5
PatchCore,capsule,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,123,degradation,sensor_noise,mild,none,0.5201435685157776
PatchCore,capsule,123,rescue,sensor_noise,mild,NLM Denoise,0.4780613780021667
PatchCore,capsule,123,degradation,sensor_noise,moderate,none,0.5
PatchCore,capsule,123,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,capsule,123,degradation,fog_haze,mild,none,0.4890306890010834
PatchCore,capsule,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5
PatchCore,capsule,123,degradation,fog_haze,moderate,none,0.5
PatchCore,capsule,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,capsule,456,degradation,low_light,mild,none,0.9457517862319946
PatchCore,capsule,456,rescue,low_light,mild,CLAHE,0.8181093335151672
PatchCore,capsule,456,rescue,low_light,mild,Retinex,0.6597527265548706
PatchCore,capsule,456,degradation,low_light,moderate,none,0.548464298248291
PatchCore,capsule,456,rescue,low_light,moderate,CLAHE,0.8133226633071899
PatchCore,capsule,456,rescue,low_light,moderate,Retinex,0.5205424427986145
PatchCore,capsule,456,degradation,gaussian_blur,mild,none,0.8536098599433899
PatchCore,capsule,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,capsule,456,degradation,gaussian_blur,moderate,none,0.5
PatchCore,capsule,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,capsule,456,degradation,motion_blur,mild,none,0.5610291361808777
PatchCore,capsule,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,capsule,456,degradation,motion_blur,moderate,none,0.5
PatchCore,capsule,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,capsule,456,degradation,sensor_noise,mild,none,0.5863581895828247
PatchCore,capsule,456,rescue,sensor_noise,mild,NLM Denoise,0.509972095489502
PatchCore,capsule,456,degradation,sensor_noise,moderate,none,0.5
PatchCore,capsule,456,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,capsule,456,degradation,fog_haze,mild,none,0.5454726815223694
PatchCore,capsule,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5173513889312744
PatchCore,capsule,456,degradation,fog_haze,moderate,none,0.5
PatchCore,capsule,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,carpet,42,degradation,low_light,mild,none,0.9819421768188475
PatchCore,carpet,42,rescue,low_light,mild,CLAHE,0.985553741455078
PatchCore,carpet,42,rescue,low_light,mild,Retinex,0.9578651785850524
PatchCore,carpet,42,degradation,low_light,moderate,none,0.9670947194099426
PatchCore,carpet,42,rescue,low_light,moderate,CLAHE,0.9815409183502196
PatchCore,carpet,42,rescue,low_light,moderate,Retinex,0.9819422364234924
PatchCore,carpet,42,degradation,gaussian_blur,mild,none,0.9911717176437378
PatchCore,carpet,42,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,carpet,42,degradation,gaussian_blur,moderate,none,0.6284109354019165
PatchCore,carpet,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,carpet,42,degradation,motion_blur,mild,none,0.9283708333969116
PatchCore,carpet,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.4634831547737121
PatchCore,carpet,42,degradation,motion_blur,moderate,none,0.8218299150466919
PatchCore,carpet,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4369984269142151
PatchCore,carpet,42,degradation,sensor_noise,mild,none,0.9771267771720886
PatchCore,carpet,42,rescue,sensor_noise,mild,NLM Denoise,0.9386035203933716
PatchCore,carpet,42,degradation,sensor_noise,moderate,none,0.9510433673858644
PatchCore,carpet,42,rescue,sensor_noise,moderate,NLM Denoise,0.846308171749115
PatchCore,carpet,42,degradation,fog_haze,mild,none,0.9309791326522828
PatchCore,carpet,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.9105136394500732
PatchCore,carpet,42,degradation,fog_haze,moderate,none,0.4963884353637695
PatchCore,carpet,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5551765561103821
PatchCore,carpet,123,degradation,low_light,mild,none,0.9835472702980042
PatchCore,carpet,123,rescue,low_light,mild,CLAHE,0.9875601530075072
PatchCore,carpet,123,rescue,low_light,mild,Retinex,0.9642857313156128
PatchCore,carpet,123,degradation,low_light,moderate,none,0.9707062840461732
PatchCore,carpet,123,rescue,low_light,moderate,CLAHE,0.9823434948921204
PatchCore,carpet,123,rescue,low_light,moderate,Retinex,0.9807382822036744
PatchCore,carpet,123,degradation,gaussian_blur,mild,none,0.9915730357170104
PatchCore,carpet,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,carpet,123,degradation,gaussian_blur,moderate,none,0.6863964796066284
PatchCore,carpet,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,carpet,123,degradation,motion_blur,mild,none,0.9173354506492616
PatchCore,carpet,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.4562600255012512
PatchCore,carpet,123,degradation,motion_blur,moderate,none,0.8101925849914551
PatchCore,carpet,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4343900382518768
PatchCore,carpet,123,degradation,sensor_noise,mild,none,0.9803370237350464
PatchCore,carpet,123,rescue,sensor_noise,mild,NLM Denoise,0.9454253911972046
PatchCore,carpet,123,degradation,sensor_noise,moderate,none,0.9562600255012512
PatchCore,carpet,123,rescue,sensor_noise,moderate,NLM Denoise,0.8386837840080261
PatchCore,carpet,123,degradation,fog_haze,mild,none,0.9048956632614136
PatchCore,carpet,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.9129213690757751
PatchCore,carpet,123,degradation,fog_haze,moderate,none,0.574638843536377
PatchCore,carpet,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.6787720918655396
PatchCore,carpet,456,degradation,low_light,mild,none,0.985954999923706
PatchCore,carpet,456,rescue,low_light,mild,CLAHE,0.9891653060913086
PatchCore,carpet,456,rescue,low_light,mild,Retinex,0.957062602043152
PatchCore,carpet,456,degradation,low_light,moderate,none,0.965890884399414
PatchCore,carpet,456,rescue,low_light,moderate,CLAHE,0.97873193025589
PatchCore,carpet,456,rescue,low_light,moderate,Retinex,0.9819421768188475
PatchCore,carpet,456,degradation,gaussian_blur,mild,none,0.9915730357170104
PatchCore,carpet,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,carpet,456,degradation,gaussian_blur,moderate,none,0.6717495918273926
PatchCore,carpet,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,carpet,456,degradation,motion_blur,mild,none,0.9215489029884338
PatchCore,carpet,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.4530497789382934
PatchCore,carpet,456,degradation,motion_blur,moderate,none,0.8198234438896179
PatchCore,carpet,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4380016326904297
PatchCore,carpet,456,degradation,sensor_noise,mild,none,0.976324200630188
PatchCore,carpet,456,rescue,sensor_noise,mild,NLM Denoise,0.9402086734771729
