model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,capsules,42,degradation,motion_blur,mild,none,0.5578333139419556
PaDiM,VisA,capsules,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,42,degradation,motion_blur,moderate,none,0.4776667058467865
PaDiM,VisA,capsules,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,42,degradation,motion_blur,severe,none,0.5083333849906921
PaDiM,VisA,capsules,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,42,degradation,sensor_noise,mild,none,0.4950000047683716
PaDiM,VisA,capsules,42,rescue,sensor_noise,mild,NLM Denoise,0.5826666951179504
PaDiM,VisA,capsules,42,degradation,sensor_noise,moderate,none,0.5
PaDiM,VisA,capsules,42,rescue,sensor_noise,moderate,NLM Denoise,0.628333330154419
PaDiM,VisA,capsules,42,degradation,sensor_noise,severe,none,0.5
PaDiM,VisA,capsules,42,rescue,sensor_noise,severe,NLM Denoise,0.5799999833106995
PaDiM,VisA,capsules,42,degradation,fog_haze,mild,none,0.5253333449363708
PaDiM,VisA,capsules,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.496666669845581
PaDiM,VisA,capsules,42,degradation,fog_haze,moderate,none,0.5546666383743286
PaDiM,VisA,capsules,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.4846666753292084
PaDiM,VisA,capsules,42,degradation,fog_haze,severe,none,0.5096666812896729
PaDiM,VisA,capsules,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.546833336353302
PaDiM,VisA,capsules,123,baseline,clean,none,none,0.6966665983200073
PaDiM,VisA,capsules,123,degradation,low_light,mild,none,0.5668333768844604
PaDiM,VisA,capsules,123,rescue,low_light,mild,CLAHE,0.4825833439826965
PaDiM,VisA,capsules,123,rescue,low_light,mild,Retinex,0.6169999837875366
PaDiM,VisA,capsules,123,degradation,low_light,moderate,none,0.5755000114440918
PaDiM,VisA,capsules,123,rescue,low_light,moderate,CLAHE,0.465499997138977
PaDiM,VisA,capsules,123,rescue,low_light,moderate,Retinex,0.5421666502952576
PaDiM,VisA,capsules,123,degradation,low_light,severe,none,0.6006667017936707
PaDiM,VisA,capsules,123,rescue,low_light,severe,CLAHE,0.6037499904632568
PaDiM,VisA,capsules,123,rescue,low_light,severe,Retinex,0.6525000333786011
