model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,VisA,capsules,123,degradation,low_light,severe,none,0.5
PatchCore,VisA,capsules,123,rescue,low_light,severe,CLAHE,0.5
PatchCore,VisA,capsules,123,rescue,low_light,severe,Retinex,0.6729999780654907
PatchCore,VisA,capsules,123,degradation,gaussian_blur,mild,none,0.6985833644866943
PatchCore,VisA,capsules,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,capsules,123,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,capsules,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,123,degradation,gaussian_blur,severe,none,0.5
PatchCore,VisA,capsules,123,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,VisA,capsules,123,degradation,motion_blur,mild,none,0.6875
PatchCore,VisA,capsules,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,123,degradation,motion_blur,moderate,none,0.5
PatchCore,VisA,capsules,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,123,degradation,motion_blur,severe,none,0.5
PatchCore,VisA,capsules,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,123,degradation,sensor_noise,mild,none,0.6484166383743286
PatchCore,VisA,capsules,123,rescue,sensor_noise,mild,NLM Denoise,0.5361666679382324
PatchCore,VisA,capsules,123,degradation,sensor_noise,moderate,none,0.5165000557899475
PatchCore,VisA,capsules,123,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,VisA,capsules,123,degradation,sensor_noise,severe,none,0.5
PatchCore,VisA,capsules,123,rescue,sensor_noise,severe,NLM Denoise,0.5
PatchCore,VisA,capsules,123,degradation,fog_haze,mild,none,0.6784999966621399
PatchCore,VisA,capsules,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5424166917800903
PatchCore,VisA,capsules,123,degradation,fog_haze,moderate,none,0.625083327293396
PatchCore,VisA,capsules,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5083333253860474
PatchCore,VisA,capsules,123,degradation,fog_haze,severe,none,0.5083333253860474
PatchCore,VisA,capsules,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PatchCore,VisA,capsules,456,baseline,clean,none,none,0.7214999794960022
PatchCore,VisA,capsules,456,degradation,low_light,mild,none,0.7484999895095825
PatchCore,VisA,capsules,456,rescue,low_light,mild,CLAHE,0.6523333191871643
PatchCore,VisA,capsules,456,rescue,low_light,mild,Retinex,0.6661666631698608
PatchCore,VisA,capsules,456,degradation,low_light,moderate,none,0.7235000133514404
PatchCore,VisA,capsules,456,rescue,low_light,moderate,CLAHE,0.5721666812896729
PatchCore,VisA,capsules,456,rescue,low_light,moderate,Retinex,0.7421666383743286
PatchCore,VisA,capsules,456,degradation,low_light,severe,none,0.5
PatchCore,VisA,capsules,456,rescue,low_light,severe,CLAHE,0.5
PatchCore,VisA,capsules,456,rescue,low_light,severe,Retinex,0.593666672706604
PatchCore,VisA,capsules,456,degradation,gaussian_blur,mild,none,0.7026666402816772
PatchCore,VisA,capsules,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,capsules,456,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,capsules,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,456,degradation,gaussian_blur,severe,none,0.5
PatchCore,VisA,capsules,456,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,VisA,capsules,456,degradation,motion_blur,mild,none,0.6819999814033508
PatchCore,VisA,capsules,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,456,degradation,motion_blur,moderate,none,0.5
PatchCore,VisA,capsules,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,456,degradation,motion_blur,severe,none,0.5
PatchCore,VisA,capsules,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,456,degradation,sensor_noise,mild,none,0.6428333520889282
PatchCore,VisA,capsules,456,rescue,sensor_noise,mild,NLM Denoise,0.503083348274231
PatchCore,VisA,capsules,456,degradation,sensor_noise,moderate,none,0.4984999895095825
PatchCore,VisA,capsules,456,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,VisA,capsules,456,degradation,sensor_noise,severe,none,0.5
PatchCore,VisA,capsules,456,rescue,sensor_noise,severe,NLM Denoise,0.5
PatchCore,VisA,capsules,456,degradation,fog_haze,mild,none,0.5903333425521851
PatchCore,VisA,capsules,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5200833678245544
PatchCore,VisA,capsules,456,degradation,fog_haze,moderate,none,0.6271666884422302
PatchCore,VisA,capsules,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,VisA,capsules,456,degradation,fog_haze,severe,none,0.5
PatchCore,VisA,capsules,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PatchCore,VisA,cashew,123,baseline,clean,none,none,0.960200011730194
PatchCore,VisA,cashew,123,degradation,low_light,mild,none,0.8989999890327454
PatchCore,VisA,cashew,123,rescue,low_light,mild,CLAHE,0.8122000098228455
PatchCore,VisA,cashew,123,rescue,low_light,mild,Retinex,0.5009000301361084
PatchCore,VisA,cashew,123,degradation,low_light,moderate,none,0.7747999429702759
PatchCore,VisA,cashew,123,rescue,low_light,moderate,CLAHE,0.7520000338554382
PatchCore,VisA,cashew,123,rescue,low_light,moderate,Retinex,0.4900000095367431
PatchCore,VisA,cashew,123,degradation,low_light,severe,none,0.451799988746643
PatchCore,VisA,cashew,123,rescue,low_light,severe,CLAHE,0.4863000512123108
PatchCore,VisA,cashew,123,rescue,low_light,severe,Retinex,0.5
PatchCore,VisA,cashew,123,degradation,gaussian_blur,mild,none,0.913599967956543
PatchCore,VisA,cashew,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,cashew,123,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,cashew,123,rescue,gaussian_blur,moderate,Wiener,0.5
