model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PatchCore,MVTec-AD,grid,42,degradation,fog_haze,moderate,none,0.5505430102348328,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,grid,42,degradation,fog_haze,severe,none,0.32581451535224915,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,grid,42,degradation,fog_haze,mild,none,0.8913952112197876,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,grid,42,degradation,fog_haze,moderate,none,0.5530493259429932,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,grid,42,degradation,fog_haze,severe,none,0.45071008801460266,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,leather,42,degradation,low_light,mild,none,0.975203812122345,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,leather,42,degradation,low_light,moderate,none,0.9307065606117249,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,leather,42,degradation,low_light,severe,none,0.932744562625885,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,leather,42,degradation,low_light,mild,none,0.8855298757553101,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,leather,42,degradation,low_light,moderate,none,0.8977581262588501,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,leather,42,degradation,low_light,severe,none,0.86548912525177,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,leather,42,degradation,gaussian_blur,mild,none,1.0,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,leather,42,degradation,gaussian_blur,moderate,none,1.0,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,leather,42,degradation,gaussian_blur,severe,none,0.9962635636329651,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,leather,42,degradation,gaussian_blur,mild,none,0.9208559989929199,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,leather,42,degradation,gaussian_blur,moderate,none,0.7194293737411499,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,leather,42,degradation,gaussian_blur,severe,none,0.5523097515106201,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,leather,42,degradation,motion_blur,mild,none,1.0,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,leather,42,degradation,motion_blur,moderate,none,0.9442934393882751,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,leather,42,degradation,motion_blur,severe,none,0.9065896272659302,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,leather,42,degradation,motion_blur,mild,none,0.9133832454681396,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,leather,42,degradation,motion_blur,moderate,none,0.8444293737411499,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,leather,42,degradation,motion_blur,severe,none,0.83933424949646,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,leather,42,degradation,sensor_noise,mild,none,0.9918478727340698,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,leather,42,degradation,sensor_noise,moderate,none,0.929347813129425,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,leather,42,degradation,sensor_noise,severe,none,0.8838315010070801,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,leather,42,degradation,sensor_noise,mild,none,0.6226222515106201,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,leather,42,degradation,sensor_noise,moderate,none,0.5609714984893799,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,leather,42,degradation,sensor_noise,severe,none,0.5514606237411499,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,leather,42,degradation,fog_haze,mild,none,0.926630437374115,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,leather,42,degradation,fog_haze,moderate,none,0.7119565606117249,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,leather,42,degradation,fog_haze,severe,none,0.6385869979858398,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,leather,42,degradation,fog_haze,mild,none,0.5417798757553101,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,leather,42,degradation,fog_haze,moderate,none,0.500339686870575,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,leather,42,degradation,fog_haze,severe,none,0.623641312122345,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,bottle,42,degradation,low_light,mild,none,1.0,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,bottle,42,degradation,low_light,moderate,none,0.9936507940292358,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,bottle,42,degradation,low_light,severe,none,0.9547619223594666,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,bottle,42,degradation,low_light,mild,none,0.6373015642166138,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,bottle,42,degradation,low_light,moderate,none,0.596825361251831,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,bottle,42,degradation,low_light,severe,none,0.4932539761066437,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,bottle,42,degradation,gaussian_blur,mild,none,1.0,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,bottle,42,degradation,gaussian_blur,moderate,none,0.9611111283302307,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,bottle,42,degradation,gaussian_blur,severe,none,0.5857142806053162,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,mild,none,0.9968254566192627,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,moderate,none,0.6833333373069763,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,severe,none,0.5523809194564819,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,bottle,42,degradation,motion_blur,mild,none,0.9944444894790649,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,bottle,42,degradation,motion_blur,moderate,none,0.9309523701667786,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,bottle,42,degradation,motion_blur,severe,none,0.6980159282684326,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,mild,none,0.9412698745727539,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,moderate,none,0.6849206686019897,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,severe,none,0.4515873193740845,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,bottle,42,degradation,sensor_noise,mild,none,0.9682539701461792,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,bottle,42,degradation,sensor_noise,moderate,none,0.9341269731521606,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,bottle,42,degradation,sensor_noise,severe,none,0.9317460656166077,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,mild,none,0.5658730268478394,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,moderate,none,0.5523809194564819,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,severe,none,0.4476190209388733,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,bottle,42,degradation,fog_haze,mild,none,0.8230159282684326,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,bottle,42,degradation,fog_haze,moderate,none,0.899206280708313,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,bottle,42,degradation,fog_haze,severe,none,0.6873016357421875,augmented_loco,leave_one_corruption_out,fog_haze
