model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,applied_to
PatchCore,MVTec-AD,grid,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.7289055585861206,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.4736842215061188,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,low_light,mild,NLM Denoise,0.9381787776947021,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,low_light,moderate,NLM Denoise,0.7710944414138794,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,low_light,severe,NLM Denoise,0.5108605027198792,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,clean,none,CLAHE,0.8421052098274231,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,clean,none,Retinex,0.8312448263168335,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,clean,none,Wiener,0.7694235444068909,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,clean,none,Wiener (Motion PSF),0.4306599497795105,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,clean,none,NLM Denoise,0.9147869348526001,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,clean,none,Dehaze (Dark Channel),0.8011695742607117,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,grid,42,rescue,fog_haze,mild,CLAHE,0.7928153872489929,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,fog_haze,moderate,CLAHE,0.5029239654541016,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,fog_haze,severe,CLAHE,0.4832915663719177,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,motion_blur,mild,Wiener,0.5338345766067505,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,motion_blur,moderate,Wiener,0.5146198868751526,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,motion_blur,severe,Wiener,0.5802004933357239,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.4837092459201813,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.6825396418571472,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.4887217581272125,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.4352547824382782,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.4920634329319,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.47869670391082764,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,low_light,mild,NLM Denoise,0.8028404712677002,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,low_light,moderate,NLM Denoise,0.8847118020057678,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,grid,42,rescue,low_light,severe,NLM Denoise,0.8822055459022522,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,clean,none,CLAHE,0.999660313129425,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,clean,none,Retinex,1.0,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,clean,none,Wiener,0.93919837474823,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,clean,none,Wiener (Motion PSF),0.73607337474823,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,clean,none,NLM Denoise,1.0,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,clean,none,Dehaze (Dark Channel),1.0,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,leather,42,rescue,fog_haze,mild,CLAHE,0.8369565010070801,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,fog_haze,moderate,CLAHE,0.5623301267623901,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,fog_haze,severe,CLAHE,0.523097813129425,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,motion_blur,mild,Wiener,0.94972825050354,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.89232337474823,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.84035325050354,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.82863450050354,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.9918478727340698,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.9398777484893799,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.899796187877655,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,low_light,mild,NLM Denoise,0.953125,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,low_light,moderate,NLM Denoise,0.94870924949646,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,leather,42,rescue,low_light,severe,NLM Denoise,0.9099864363670349,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,clean,none,CLAHE,0.98777174949646,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,clean,none,Retinex,0.9602581858634949,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,clean,none,Wiener,0.890625,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,clean,none,Wiener (Motion PSF),0.7255434393882751,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,clean,none,NLM Denoise,0.9928668737411499,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,clean,none,Dehaze (Dark Channel),0.99830162525177,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,leather,42,rescue,fog_haze,mild,CLAHE,0.6256793737411499,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,fog_haze,moderate,CLAHE,0.659816563129425,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,fog_haze,severe,CLAHE,0.47673237323760986,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,motion_blur,mild,Wiener,0.811141312122345,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,motion_blur,moderate,Wiener,0.69870924949646,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,motion_blur,severe,Wiener,0.601222813129425,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.812160313129425,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.60597825050354,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.779891312122345,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.7588315606117249,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.6759510636329651,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.6199048757553101,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,low_light,mild,NLM Denoise,0.8366168141365051,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,low_light,moderate,NLM Denoise,0.8444293141365051,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,leather,42,rescue,low_light,severe,NLM Denoise,0.8199728727340698,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,CLAHE,1.0,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,Retinex,0.9476190805435181,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,Wiener,0.9603174328804016,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,Wiener (Motion PSF),0.5,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,NLM Denoise,1.0,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,clean,none,Dehaze (Dark Channel),0.9888889193534851,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,bottle,42,rescue,fog_haze,mild,CLAHE,0.8579365015029907,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,fog_haze,moderate,CLAHE,0.7515872716903687,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,fog_haze,severe,CLAHE,0.6523809432983398,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,motion_blur,mild,Wiener,0.9865078926086426,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.8761905431747437,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.815079391002655,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.7396825551986694,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,low_light,mild,NLM Denoise,0.9666666388511658,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,low_light,moderate,NLM Denoise,0.985714316368103,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,bottle,42,rescue,low_light,severe,NLM Denoise,0.9484126567840576,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,CLAHE,1.0,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,Retinex,0.5,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,Wiener,0.6928571462631226,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,Wiener (Motion PSF),0.5,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,NLM Denoise,1.0,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,clean,none,Dehaze (Dark Channel),0.9968253970146179,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,bottle,42,rescue,fog_haze,mild,CLAHE,0.7714285254478455,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,fog_haze,moderate,CLAHE,0.7285714149475098,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,fog_haze,severe,CLAHE,0.6261904835700989,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,motion_blur,mild,Wiener,0.7166666388511658,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.5,clean,rescue_mismatched,wrong_corruption
