model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,screw,42,rescue,gaussian_blur,mild,Wiener,0.5975610017776489
PaDiM,screw,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,screw,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5458086133003235
PaDiM,screw,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5322811603546143
PaDiM,screw,123,rescue,gaussian_blur,mild,Wiener,0.5587210655212402
PaDiM,screw,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,screw,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6149826049804688
PaDiM,screw,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6636605858802795
PaDiM,screw,456,rescue,gaussian_blur,mild,Wiener,0.5742980241775513
PaDiM,screw,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,screw,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.592334508895874
PaDiM,screw,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5365853309631348
PaDiM,tile,42,rescue,gaussian_blur,mild,Wiener,0.7128427028656006
PaDiM,tile,42,rescue,gaussian_blur,moderate,Wiener,0.5685425400733948
PaDiM,tile,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8636363744735718
PaDiM,tile,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.616161584854126
PaDiM,tile,123,rescue,gaussian_blur,mild,Wiener,0.6695526242256165
PaDiM,tile,123,rescue,gaussian_blur,moderate,Wiener,0.4285714030265808
PaDiM,tile,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.8611111640930176
PaDiM,tile,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6085858345031738
PaDiM,tile,456,rescue,gaussian_blur,mild,Wiener,0.6702741384506226
PaDiM,tile,456,rescue,gaussian_blur,moderate,Wiener,0.5465368032455444
PaDiM,tile,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6632394790649414
PaDiM,tile,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6237373352050781
PaDiM,toothbrush,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,toothbrush,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,toothbrush,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.7277777791023254
PaDiM,toothbrush,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6166666746139526
PaDiM,toothbrush,123,rescue,gaussian_blur,mild,Wiener,0.46666666865348816
PaDiM,toothbrush,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,toothbrush,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5916666984558105
