model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,pcb1,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6454999446868896
PaDiM,VisA,pcb1,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.568850040435791
PaDiM,VisA,pcb1,456,rescue,gaussian_blur,mild,Wiener,0.585099995136261
PaDiM,VisA,pcb1,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,pcb1,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6265000104904175
PaDiM,VisA,pcb1,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5242000222206116
PaDiM,VisA,pcb2,42,rescue,gaussian_blur,mild,Wiener,0.6590999960899353
PaDiM,VisA,pcb2,42,rescue,gaussian_blur,moderate,Wiener,0.534600019454956
PaDiM,VisA,pcb2,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5805000066757202
PaDiM,VisA,pcb2,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.44620001316070557
PaDiM,VisA,pcb2,123,rescue,gaussian_blur,mild,Wiener,0.6114000082015991
PaDiM,VisA,pcb2,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,pcb2,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6183000206947327
PaDiM,VisA,pcb2,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.40549999475479126
PaDiM,VisA,pcb2,456,rescue,gaussian_blur,mild,Wiener,0.5906000137329102
PaDiM,VisA,pcb2,456,rescue,gaussian_blur,moderate,Wiener,0.48124998807907104
PaDiM,VisA,pcb2,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6728000044822693
PaDiM,VisA,pcb2,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.38349997997283936
PaDiM,VisA,pcb3,42,rescue,gaussian_blur,mild,Wiener,0.7193069458007812
PaDiM,VisA,pcb3,42,rescue,gaussian_blur,moderate,Wiener,0.7178217768669128
PaDiM,VisA,pcb3,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6297029256820679
PaDiM,VisA,pcb3,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6008415818214417
PaDiM,VisA,pcb3,123,rescue,gaussian_blur,mild,Wiener,0.7182178497314453
PaDiM,VisA,pcb3,123,rescue,gaussian_blur,moderate,Wiener,0.5580198168754578
PaDiM,VisA,pcb3,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.7034653425216675
PaDiM,VisA,pcb3,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5685148239135742
PaDiM,VisA,pcb3,456,rescue,gaussian_blur,mild,Wiener,0.7404950261116028
PaDiM,VisA,pcb3,456,rescue,gaussian_blur,moderate,Wiener,0.5188613533973694
PaDiM,VisA,pcb3,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.7694059610366821
PaDiM,VisA,pcb3,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6347525119781494
PaDiM,VisA,pcb4,42,rescue,gaussian_blur,mild,Wiener,0.7512376308441162
PaDiM,VisA,pcb4,42,rescue,gaussian_blur,moderate,Wiener,0.47495052218437195
PaDiM,VisA,pcb4,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.7129702568054199
PaDiM,VisA,pcb4,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6228712797164917
PaDiM,VisA,pcb4,123,rescue,gaussian_blur,mild,Wiener,0.7795544862747192
PaDiM,VisA,pcb4,123,rescue,gaussian_blur,moderate,Wiener,0.5025742053985596
PaDiM,VisA,pcb4,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.868712842464447
PaDiM,VisA,pcb4,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6388118863105774
PaDiM,VisA,pcb4,456,rescue,gaussian_blur,mild,Wiener,0.91267329454422
PaDiM,VisA,pcb4,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,pcb4,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.7730692625045776
PaDiM,VisA,pcb4,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.6679207682609558
PaDiM,VisA,pipe_fryum,42,rescue,gaussian_blur,mild,Wiener,0.7522000074386597
PaDiM,VisA,pipe_fryum,42,rescue,gaussian_blur,moderate,Wiener,0.4968000054359436
PaDiM,VisA,pipe_fryum,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.635200023651123
PaDiM,VisA,pipe_fryum,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5580000281333923
PaDiM,VisA,pipe_fryum,123,rescue,gaussian_blur,mild,Wiener,0.7933000326156616
PaDiM,VisA,pipe_fryum,123,rescue,gaussian_blur,moderate,Wiener,0.4674000144004822
PaDiM,VisA,pipe_fryum,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.626800000667572
PaDiM,VisA,pipe_fryum,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.47519999742507935
PaDiM,VisA,pipe_fryum,456,rescue,gaussian_blur,mild,Wiener,0.7907999753952026
PaDiM,VisA,pipe_fryum,456,rescue,gaussian_blur,moderate,Wiener,0.5205999612808228
PaDiM,VisA,pipe_fryum,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6496000289916992
PaDiM,VisA,pipe_fryum,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.629599928855896
